alpha,beta,eta,lambda,epsilon,gamma,iota,delta,mu,omicron,alpha_rel,beta_rel,eta_rel,lambda_rel,epsilon_rel,gamma_rel,iota_rel,delta_rel,mu_rel,omicron_rel,other,other_rel,sum,ba1,ba1_rel,ba2,ba2_rel,ba3,ba3_rel,date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,2020-01-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2020-01-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-27
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-28
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-03
